Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
mRNA surveillance pathway	10/91	0.05576181203939301	0.10162507756291743	0	0	1.7681433610637152	5.104039351689399	PPP2R1B;CPSF1;PPP2R2C;PCF11;CLP1;NCBP2;RNMT;MAGOH;PPP2R2D;ETF1
SNARE interactions in vesicular transport	5/34	0.05717543717923684	0.10358843912473499	0	0	2.366191850835266	6.77116769856359	STX16;VAMP1;STX3;STX11;STX10
Basal transcription factors	6/45	0.058466125533814556	0.10530740739423909	0	0	2.145347278090641	6.091301138456329	CDK7;TBP;GTF2B;TAF11;TAF6;TAF5L
Renal cell carcinoma	8/69	0.06354566451260564	0.11379107366210776	0	0	1.8655193722527315	5.141364870587638	CDKN1A;FH;TGFB3;BRAF;HRAS;MET;HIF1A;VEGFA
Viral myocarditis	7/59	0.07215053578402118	0.12845297700276603	0	0	1.9089954593179432	5.01875014650479	CD40;CASP8;CD80;CAV1;PRF1;HLA-DPB1;ACTG1
Amoebiasis	10/96	0.07456614024946022	0.1319906390622629	0	0	1.6760525610083135	4.351147691848455	IL10;CSF2;IFNG;NOS2;TGFB3;LAMA4;GNA11;GNAS;PRKACA;TLR2
Folate biosynthesis	4/26	0.07459207566816968	0.13128205317597866	0	0	2.4754007054892013	6.425449598865997	AKR1B10;ALPP;AKR1B1;PCBD2
Maturity onset diabetes of the young	4/26	0.07459207566816968	0.13053613241929696	0	0	2.4754007054892013	6.425449598865997	PKLR;HNF4A;PDX1;HES1
Aldosterone-regulated sodium reabsorption	5/37	0.07707327446577193	0.13411620641501557	0	0	2.1743384575242986	5.572826625186954	SLC9A3R2;HSD11B2;INSR;NEDD4L;ATP1A1
Steroid hormone biosynthesis	7/60	0.07752221237020798	0.13413955848328124	0	0	1.877178868329311	4.800304480347676	HSD11B2;CYP11A1;SRD5A1;AKR1C1;CYP1A2;AKR1C2;CYP19A1
Cocaine addiction	6/49	0.08174654117726247	0.14065885297540134	0	0	1.9702168880424253	4.933682722560194	ATF2;CREB1;GNAS;PRKACA;SLC6A3;CDK5R1
Glycerolipid metabolism	7/61	0.08312077762544975	0.1422288861591029	0	0	1.8464054442583386	4.592860751343775	DGKE;AKR1B10;DGKB;DGKA;AKR1B1;CEL;GLA
Biosynthesis of unsaturated fatty acids	4/27	0.08345283621102258	0.1420081411767677	0	0	2.3837191978784897	5.919903799055561	SCD;ACOX1;ELOVL2;ELOVL6
Collecting duct acid secretion	4/27	0.08345283621102258	0.14122787666480743	0	0	2.3837191978784897	5.919903799055561	ATP6V1G2;TCIRG1;ATP6V1E1;SLC12A7
Fatty acid elongation	4/27	0.08345283621102258	0.1404561396338522	0	0	2.3837191978784897	5.919903799055561	HADHB;ELOVL2;ELOVL6;PPT2
Selenocompound metabolism	3/17	0.08486868662882764	0.14206280153086367	0	0	2.8394302210023192	7.003880782396401	TXNRD1;CTH;SEPHS1
Insulin secretion	9/86	0.08576207722733248	0.142782269113613	0	0	1.6838481543153287	4.135831399085038	ATF2;RAB3A;CREB1;GNA11;PDX1;GNAS;ATP1A1;CACNA1C;PRKACA
Phagosome	14/152	0.09090212200958271	0.1505260945104918	0	0	1.4819833171020875	3.5537544005206616	ATP6V0B;ATP6V1G2;M6PR;CYBA;TCIRG1;THBS1;TUBA4A;ACTG1;HLA-DPB1;PIK3C3;SEC61B;NOS1;ATP6V1E1;TLR2
Pyruvate metabolism	5/39	0.09215291494836077	0.15178127167965302	0	0	2.0628339212410007	4.918427218516535	FH;PDHA1;PKLR;PCK1;PCK2
Gap junction	9/88	0.0957483402522454	0.15686430211538077	0	0	1.6455788780808895	3.8605806822325803	PDGFRB;MAPK7;GNA11;GNAS;PRKG2;PRKACA;HRAS;TUBA4A;MAP2K5
Antigen processing and presentation	8/77	0.10471764173945343	0.17065097172355376	0	0	1.671699177732967	3.7721685947250183	PDIA3;CD74;CREB1;IFNG;PSME3;HLA-DPB1;KIR3DL1;KIR2DL3
Steroid biosynthesis	3/19	0.11048732421223226	0.17910576767035544	0	0	2.540542829317864	5.596446147137679	CYP27B1;CEL;FDFT1
Cardiac muscle contraction	8/78	0.11070796628320265	0.17852384091741577	0	0	1.6502671369928008	3.6320060714079165	CACNB1;COX7A2L;TPM2;ATP2A2;ATP1A1;CACNA1C;COX6A2;CACNG4
Porphyrin and chlorophyll metabolism	5/42	0.11736385293928671	0.18827118075677243	0	0	1.915488641152358	4.103889046463915	ALAS2;ALAS1;HMOX1;PPOX;BLVRA
Regulation of actin cytoskeleton	18/214	0.11843437200988696	0.18900407553909424	0	0	1.3533732829076472	2.887281546863992	CYFIP2;PDGFRB;ITGA2B;F2R;LPAR2;MSN;BRAF;ACTG1;FGF4;FGF7;MRAS;APC;FGF18;ITGAX;MYH9;HRAS;MYH10;PFN2
RNA polymerase	4/31	0.12361051990329236	0.19624762953718583	0	0	2.076142527184491	4.340424311824616	POLR3D;POLR2D;POLR1C;POLR3G
beta-Alanine metabolism	4/31	0.12361051990329236	0.19524123143699512	0	0	2.076142527184491	4.340424311824616	AOC3;AOC2;EHHADH;SRM
Type I diabetes mellitus	5/43	0.12642234161426966	0.1986636796795666	0	0	1.8709423936836986	3.8693465913505407	IFNG;CD80;PRF1;HLA-DPB1;FAS
Carbohydrate digestion and absorption	5/44	0.1357903446820464	0.21230165564502687	0	0	1.8284209756454326	3.650704245462477	G6PC2;TAS1R2;ATP1A1;LCT;HK1
Renin secretion	7/69	0.13584855004204563	0.21131996673207099	0	0	1.63232945072114	3.2584799083003024	CREB1;ACE;NPPA;GNAS;PRKG2;CACNA1C;PRKACA
Arginine biosynthesis	3/21	0.13864539113836857	0.21458683653576643	0	0	2.2985863693828295	4.541629119528956	NOS2;NOS1;ASS1
Proteasome	5/45	0.14545587518500444	0.22400204778490682	0	0	1.7877893984088675	3.446647897912785	PSMD8;PSMA1;IFNG;PSME3;PSMA7
Huntington disease	16/193	0.14710683694955962	0.22541744169385255	0	0	1.333894680678119	2.556537441789057	NDUFA13;NDUFA7;TBP;APAF1;NDUFB5;HDAC1;CLTC;NDUFA1;COX6A2;BBC3;COX7A2L;CASP8;CREB1;POLR2D;NDUFS1;TP53
cGMP-PKG signaling pathway	14/166	0.15187410980683888	0.23157042485399196	0	0	1.3569967722862488	2.557536330450144	VASP;ATF2;PRKCE;INSR;ATP2A2;CACNA1C;ATP1A1;ADRA2C;PIK3R5;NFATC4;CREB1;GNA11;NPPA;PRKG2
Cholinergic synapse	10/112	0.15830173288113467	0.24018193954379055	0	0	1.4366164808642685	2.648046726436709	CREB1;GNA11;GNB1;GNB4;BCL2;CACNA1C;FOS;PRKACA;HRAS;PIK3R5
Serotonergic synapse	10/113	0.16467172905319577	0.24862202229600144	0	0	1.423903060679629	2.5684382028874717	HTR1F;DUSP1;GNB1;GNAS;GNB4;BRAF;CACNA1C;PRKACA;HRAS;PTGS1
Inflammatory mediator regulation of TRP channels	9/100	0.1687954186404697	0.2536048241037301	0	0	1.4481094127111827	2.5762848819785966	MAPK10;PRKCE;P2RY2;GNAS;PRKACA;MAPK14;MAPK12;MAP2K6;MAPK13
Proximal tubule bicarbonate reclamation	3/23	0.16891100285249963	0.25254654795422277	0	0	2.0987092937843226	3.732309587129091	ATP1A1;PCK1;PCK2
Renin-angiotensin system	3/23	0.16891100285249963	0.25132651632159364	0	0	2.0987092937843226	3.732309587129091	ACE;MME;THOP1
Bacterial invasion of epithelial cells	7/74	0.17542309015119256	0.25976111426234283	0	0	1.522036920267009	2.649188309494237	CTTN;CDH1;CAV1;CLTC;RHOG;MET;ACTG1
Melanogenesis	9/101	0.17582800982147276	0.25911496184217037	0	0	1.4337716957536462	2.4922521857684905	FZD1;TCF7L1;CREB1;TCF7;LEF1;TYRP1;GNAS;PRKACA;HRAS
Amino sugar and nucleotide sugar metabolism	5/48	0.17610763704878976	0.25829120100489167	0	0	1.6760525610083135	2.9107332675288062	GALT;NAGK;FPGT;PMM2;HK1
Tyrosine metabolism	4/36	0.1828664434690788	0.26693300752832355	0	0	1.7877893984088675	3.0374527749990654	AOC3;TPO;AOC2;TYRP1
Endocytosis	19/244	0.18431283502555246	0.26777525088618	0	0	1.2529179800324441	2.118835625033515	SH3GLB2;SMAD3;IQSEC1;CAV1;CLTC;VPS4A;NEDD4L;ASAP2;IGF2R;PML;IGF1R;GRK3;ZFYVE16;GRK4;CHMP1A;IL2RB;MDM2;CCR5;HRAS
Arginine and proline metabolism	5/49	0.18683049074470118	0.2701586438937463	0	0	1.6418474067020212	2.7542869289617364	CKM;NOS2;PYCR1;NOS1;SRM
Non-homologous end-joining	2/13	0.1916271255327611	0.2757997881499552	0	0	2.4754007054892013	4.089866575169739	FEN1;PRKDC
Calcium signaling pathway	15/188	0.19276779708884065	0.27615107675982753	0	0	1.2837849403467931	2.1134552707551904	PDGFRB;NOS2;F2R;ATP2A2;CACNA1C;CACNA1H;P2RX4;P2RX3;P2RX2;GNA11;ERBB2;GNAS;PTK2B;NOS1;PRKACA
Morphine addiction	8/91	0.2040438652708013	0.29095143751577224	0	0	1.4145146888509723	2.248258336234246	GRK3;GRK4;PDE4C;GNB1;GNAS;GNB4;PRKACA;PDE8A
Oxidative phosphorylation	11/133	0.2047372888783056	0.2905948616337241	0	0	1.3307605296426908	2.1106229813780173	NDUFA13;COX7A2L;ATP6V0B;NDUFA7;ATP6V1G2;NDUFB5;NDUFA1;NDUFS1;TCIRG1;ATP6V1E1;COX6A2
Mineral absorption	5/51	0.20894705830290108	0.29520960530868595	0	0	1.5774612338901772	2.469790621458375	SLC31A1;MT1G;HMOX1;MT1X;ATP1A1
Neuroactive ligand-receptor interaction	25/338	0.2100897834743452	0.2954687365757914	0	0	1.1900964930236544	1.8568127065174194	THRB;CSH1;FPR1;LPAR2;GRIK4;PRL;HRH3;P2RY4;NPY;P2RY2;S1PR1;S1PR3;CGA;GRIA4;CHRNB1;PTGIR;HTR1F;F2R;ADRA2C;GH2;P2RX4;P2RX3;P2RX2;LEP;AVP
RNA degradation	7/79	0.21927767345098514	0.30698874283137917	0	0	1.4257054696171982	2.1633889139038947	BTG4;HSPA9;BTG3;DDX6;BTG2;EXOSC9;EXOSC1
RNA transport	13/165	0.22675267360856655	0.3160173007757398	0	0	1.2677052097808332	1.8811419281574333	CYFIP2;NDC1;EIF2B2;NUP155;NCBP2;NUP153;FXR2;MAGOH;NUP62;EIF3J;EIF4E2;EIF3C;EIF3A
Drug metabolism	9/108	0.22851440121253436	0.3170379980786513	0	0	1.3408420488066506	1.9792920965858398	HPGDS;RRM1;RRM2;RRM2B;CYP1A2;MGST1;NME2;TK1;TYMP
Pathogenic Escherichia coli infection	5/55	0.2554365252961587	0.3528002232789994	0	0	1.4627367805163463	1.9963158538523724	CTTN;CDH1;NCL;TUBA4A;ACTG1
Taste transduction	7/83	0.25685913142274436	0.3531813057062735	0	0	1.3569967722862488	1.8444672911167868	P2RY4;P2RX3;HTR1F;P2RX2;TAS1R2;CACNA1C;PRKACA
Parkinson disease	11/142	0.2685002464170504	0.367547003984229	0	0	1.246416552411816	1.6389174215122289	NDUFA13;COX7A2L;UCHL1;NDUFA7;APAF1;NDUFB5;NDUFA1;NDUFS1;PRKACA;COX6A2;SLC6A3
Caffeine metabolism	1/5	0.27447431217031437	0.37406233694007446	0	0	3.2180209171359615	4.160571529678157	CYP1A2
Neomycin, kanamycin and gentamicin biosynthesis	1/5	0.27447431217031437	0.3724144852354926	0	0	3.2180209171359615	4.160571529678157	HK1
ErbB signaling pathway	7/85	0.2763146002452718	0.37326709155940224	0	0	1.3250674364677488	1.7043218863517995	MAPK10;CDKN1A;ERBB2;BRAF;AREG;ELK1;HRAS
Phenylalanine metabolism	2/17	0.2855902798469347	0.38411269079849736	0	0	1.8929534806682127	2.3722437806923873	AOC3;AOC2
Cell adhesion molecules (CAMs)	11/145	0.2910719004173007	0.38978324055882	0	0	1.2206286237412267	1.5064814914350606	CD2;CLDN5;CD40;PTPRC;SDC4;NEGR1;CDH1;CD80;CLDN7;CLDN23;HLA-DPB1
Vasopressin-regulated water reabsorption	4/44	0.2914687158240442	0.38862495443205897	0	0	1.4627367805163463	1.8032949613241835	CREB1;GNAS;AVP;PRKACA
Chemokine signaling pathway	14/190	0.2937167673898152	0.3899343291209616	0	0	1.18558665368167	1.4525088648847686	LYN;BRAF;PIK3R5;GRK3;GRK4;GNB1;GNB4;PTK2B;PRKACA;CCR5;HRAS;CCL17;NFKBIB;PF4
VEGF signaling pathway	5/59	0.3041093360354127	0.4019986072914468	0	0	1.3635681852271022	1.6231479120036656	MAPK14;HRAS;MAPK12;MAPK13;VEGFA
Glycosphingolipid biosynthesis	4/45	0.30571386956041524	0.4023926146350765	0	0	1.430231518727094	1.694975498379845	ST3GAL4;FUT1;GLA;ST3GAL3
Salivary secretion	7/90	0.32638261523350376	0.42776955528476235	0	0	1.2514525788862072	1.401232580001866	GNAS;PRKG2;SLC4A2;NOS1;ATP1A1;PRKACA;CST5
Protein processing in endoplasmic reticulum	12/165	0.3292668223816908	0.42972110717610496	0	0	1.1701894244130768	1.2999480396450853	PDIA3;MAPK10;VCP;XBP1;SSR4;DDIT3;BCL2;SEC61B;ATF6;CRYAB;MAP3K5;SKP1
Glycosaminoglycan degradation	2/19	0.33249112696043714	0.43209817343381707	0	0	1.6936952195452428	1.8649991194064839	HPSE;ARSB
Endocrine and other factor-regulated calcium reabsorption	4/48	0.3487812013400563	0.4513639076165435	0	0	1.3408420488066506	1.4123229869138878	CLTC;GNAS;ATP1A1;PRKACA
Alanine, aspartate and glutamate metabolism	3/35	0.37211886132933775	0.47955066648299594	0	0	1.3791518216296978	1.363349439432735	ALDH5A1;CAD;ASS1
Prion diseases	3/35	0.37211886132933775	0.4775525387059834	0	0	1.3791518216296978	1.363349439432735	EGR1;PRKACA;ELK1
N-Glycan biosynthesis	4/50	0.37755897430520247	0.482523502431545	0	0	1.2872083668543846	1.253777633685742	DPAGT1;DPM1;ST6GAL1;MAN2A2
Glycerophospholipid metabolism	7/97	0.3983623904456819	0.5070066787490497	0	0	1.161141568038749	1.0687067561083348	DGKE;PTDSS1;LPGAT1;CHKA;DGKB;DGKA;MBOAT7
Other types of O-glycan biosynthesis	2/22	0.40095866947586606	0.5082109884714681	0	0	1.4627367805163463	1.3367906467143176	ST6GAL1;ST3GAL3
Long-term potentiation	5/67	0.40418798297540093	0.5102045031000962	0	0	1.2007540735581945	1.0877333423553404	RPS6KA2;BRAF;CACNA1C;PRKACA;HRAS
Peroxisome	6/83	0.4126998688301191	0.5188226922435782	0	0	1.1631400905310705	1.0294192946219975	NOS2;ACOX1;EHHADH;AGPS;NUDT19;PAOX
Glutamatergic synapse	8/114	0.41433514879399086	0.5187610806038585	0	0	1.1291301463634953	0.9948540960679255	GRK3;GNB1;GNAS;GNB4;GRIK4;CACNA1C;PRKACA;GRIA4
Staphylococcus aureus infection	5/68	0.4166866308264211	0.5195930457268733	0	0	1.183095925417633	1.035706810513378	IL10;C4A;FPR1;HLA-DPB1;MASP2
Protein export	2/23	0.42305844009266674	0.5254112885021829	0	0	1.3991395291895485	1.203602718851468	SRP54;SEC61B
Vascular smooth muscle contraction	9/132	0.4368200729735629	0.5403236244010337	0	0	1.0970525853872595	0.9086161423947019	PTGIR;PRKCE;GNA11;NPPA;GNAS;BRAF;CACNA1C;AVP;PRKACA
Ribosome	10/153	0.48167823082204553	0.5934275803727601	0	0	1.0516408225934515	0.7682014930826564	RPS4X;RPL31;RPS29;RPL13;RPS20;RPL37;RPL8;UBA52;RPS21;MRPS6
Fc gamma R-mediated phagocytosis	6/91	0.5013367658968603	0.6151861509810078	0	0	1.060886016638229	0.7325176235748295	LYN;VASP;PTPRC;SYK;PRKCE;ASAP2
Gastric acid secretion	5/75	0.5023656425975515	0.614002452063674	0	0	1.0726736390453204	0.7384575518541963	GNAS;SLC4A2;ATP1A1;PRKACA;CFTR
Lysine degradation	4/59	0.5035928007040239	0.6130694965092466	0	0	1.0908545481816818	0.7483123362857016	SUV39H1;EHHADH;NSD2;EZH2
Ubiquinone and other terpenoid-quinone biosynthesis	1/11	0.5063847003749357	0.6140412902184259	0	0	1.4627367805163463	0.9953318527584675	COQ7
Butanoate metabolism	2/28	0.5265402625783903	0.6359780426437027	0	0	1.1492931846914147	0.7371882291670575	ALDH5A1;EHHADH
Glyoxylate and dicarboxylate metabolism	2/30	0.5642753975677401	0.6788938376986874	0	0	1.0726736390453204	0.6137976434440994	SHMT1;ACO2
Sphingolipid metabolism	3/47	0.565934561394039	0.6782406416706771	0	0	1.0270279522774344	0.5846632101893984	GALC;SMPD2;GLA
Alcoholism	11/180	0.5673370637656466	0.6772861071310821	0	0	0.9832841691248771	0.5573271220830279	ATF2;CREB1;HDAC1;NPY;GNB1;GNAS;GNB4;BRAF;PRKACA;HRAS;SLC6A3
Pancreatic secretion	6/98	0.5747426302389113	0.6834777224462729	0	0	0.9851084440212127	0.5455855037731798	GNAS;ATP2A2;SLC4A2;CEL;ATP1A1;CFTR
Valine, leucine and isoleucine degradation	3/48	0.5804114425922705	0.6875643243016127	0	0	1.005631536604988	0.5470817006794436	MCCC2;HADHB;EHHADH
Propanoate metabolism	2/32	0.5997967877699969	0.7078061710082721	0	0	1.005631536604988	0.5140430090339986	EHHADH;SUCLG1
Thiamine metabolism	1/15	0.618187227651059	0.7267239164752908	0	0	1.0726736390453204	0.5159173076348497	ALPP
Pentose and glucuronate interconversions	2/34	0.6330899311265236	0.7414133033725067	0	0	0.9464767403341063	0.4326750230838145	AKR1B10;AKR1B1
Glycosaminoglycan biosynthesis	3/53	0.6480572491736294	0.7560667907025675	0	0	0.9107606369252722	0.3950663237530351	B3GAT3;CHST15;ST3GAL3
Starch and sucrose metabolism	2/36	0.6641759038007332	0.771947842908022	0	0	0.8938946992044338	0.3657890848547706	G6PC2;HK1
Protein digestion and absorption	5/90	0.6651805362954755	0.77020904202634	0	0	0.8938946992044338	0.3644380012693969	COL27A1;MME;SLC7A9;ELN;ATP1A1
Metabolism of xenobiotics by cytochrome P450	4/74	0.6829973984012837	0.7878771487175857	0	0	0.8697353830097194	0.3315989897974133	HPGDS;AKR1C1;CYP1A2;MGST1
Fat digestion and absorption	2/41	0.7326002148550709	0.8419435305050814	0	0	0.7848831505209662	0.24422042294213533	ABCA1;CEL
Spliceosome	7/134	0.7342743044285955	0.8407304303494699	0	0	0.8405278514907362	0.2596160299437098	NCBP2;SF3B6;MAGOH;SRSF5;SRSF7;SNRPA;PQBP1
Phosphatidylinositol signaling system	5/99	0.7443148802022884	0.8490703077863142	0	0	0.8126315447313034	0.23996286891895285	DGKE;DGKB;DGKA;ITPK1;PIK3C3
Tryptophan metabolism	2/42	0.7447701345662711	0.8464546178834372	0	0	0.7661954564609432	0.22578221079453098	EHHADH;CYP1A2
Chemical carcinogenesis	4/82	0.7578550583625471	0.858159404322296	0	0	0.7848831505209662	0.21761915703894785	HPGDS;CYP1A2;MGST1;AKR1C2
Arachidonic acid metabolism	3/63	0.7590426517064488	0.8563558121816345	0	0	0.7661954564609432	0.2112380251761966	HPGDS;LTA4H;PTGS1
Ribosome biogenesis in eukaryotes	5/101	0.759880216003179	0.85417192163861	0	0	0.796539830974248	0.21872543164153857	CSNK2A1;DKC1;NAT10;REXO2;GNL3
Mannose type O-glycan biosynthesis	1/23	0.7715951201208422	0.8641865345353432	0	0	0.6995697645947743	0.18139516760602076	ST3GAL3
Vitamin digestion and absorption	1/24	0.7858067341199289	0.8769147612642685	0	0	0.6704210244033253	0.16160123500354642	SLC19A1
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	1/25	0.7991347448030977	0.8885685971095816	0	0	0.6436041834271923	0.14431260217420017	PIGU
alpha-Linolenic acid metabolism	1/25	0.7991347448030977	0.8853723071919212	0	0	0.6436041834271923	0.14431260217420017	ACOX1
GABAergic synapse	4/89	0.8114512226366075	0.8957956149536742	0	0	0.7231507678957216	0.1510886141652252	GNB1;GNB4;CACNA1C;PRKACA
Ascorbate and aldarate metabolism	1/27	0.8233561328412654	0.9056917461253919	0	0	0.5959297994696224	0.1158287576065035	RGN
Cholesterol metabolism	2/50	0.8259785568156277	0.9053430444811862	0	0	0.6436041834271923	0.12304840937716481	ABCA1;ANGPTL4
Phototransduction	1/28	0.8343492900741801	0.9112751111448493	0	0	0.5746465923457074	0.10407030873606833	GNB1
Systemic lupus erythematosus	6/133	0.8413986349387209	0.915727136258396	0	0	0.725869379805104	0.12535018735610706	IL10;C4A;CD40;IFNG;CD80;HLA-DPB1
Linoleic acid metabolism	1/29	0.8446588133857346	0.9160384314183317	0	0	0.5548311926096485	0.09366799140212612	CYP1A2
Inositol phosphate metabolism	3/74	0.8465261247884224	0.9148422681924003	0	0	0.6523015372572896	0.10868270906957894	ISYNA1;ITPK1;PIK3C3
Mucin type O-glycan biosynthesis	1/31	0.8633942448047385	0.9298091867127953	0	0	0.5190356317961228	0.07623795791533758	GALNT2
Axon guidance	8/181	0.8812057586537002	0.945684228799093	0	0	0.7111648435659583	0.08993684256109982	EFNB2;SHH;EFNB3;DPYSL2;HRAS;MET;EPHA2;NFATC4
Nicotine addiction	1/40	0.9234015627823983	0.9875266713089537	0	0	0.4022526146419952	0.03205594388124036	GRIA4
Retinol metabolism	2/67	0.9264457928889835	0.9873539938055604	0	0	0.4803016294232778	0.036694920749584685	ALDH1A1;CYP1A2
Ether lipid metabolism	1/47	0.9511655804985069	1.0	0	0	0.34234265075914483	0.01714011044202179	AGPS
Aminoacyl-tRNA biosynthesis	1/66	0.9856194912160144	1.0	0	0	0.24378946341939103	0.003531268536080754	SARS2
Olfactory transduction	4/444	0.999995377855327	1.0	0	0	0.14495589716828655	6.700086763568358E-7	GRK3;GNB1;PRKG2;PRKACA
